INFO(chunker_countsort_laszip.cpp:176): counting 000241.las, first point: 0, num points: 126'778
INFO(chunker_countsort_laszip.cpp:176): counting 000244.las, first point: 0, num points: 126'939
INFO(chunker_countsort_laszip.cpp:176): counting 000261.las, first point: 0, num points: 127'196
INFO(chunker_countsort_laszip.cpp:176): counting 000258.las, first point: 0, num points: 127'197
INFO(chunker_countsort_laszip.cpp:176): counting 000239.las, first point: 0, num points: 126'665
INFO(chunker_countsort_laszip.cpp:176): counting 000242.las, first point: 0, num points: 126'827
INFO(chunker_countsort_laszip.cpp:176): counting 000262.las, first point: 0, num points: 127'180
INFO(chunker_countsort_laszip.cpp:176): counting 000247.las, first point: 0, num points: 126'967
INFO(chunker_countsort_laszip.cpp:176): counting 000259.las, first point: 0, num points: 127'195
INFO(chunker_countsort_laszip.cpp:176): counting 000248.las, first point: 0, num points: 126'964
INFO(chunker_countsort_laszip.cpp:176): counting 000264.las, first point: 0, num points: 127'122
INFO(chunker_countsort_laszip.cpp:176): counting 000253.las, first point: 0, num points: 127'122
INFO(chunker_countsort_laszip.cpp:176): counting 000263.las, first point: 0, num points: 127'172
INFO(chunker_countsort_laszip.cpp:176): counting 000267.las, first point: 0, num points: 127'104
INFO(chunker_countsort_laszip.cpp:176): counting 000250.las, first point: 0, num points: 126'986
INFO(chunker_countsort_laszip.cpp:176): counting 000245.las, first point: 0, num points: 126'897
INFO(chunker_countsort_laszip.cpp:176): counting 000256.las, first point: 0, num points: 127'111
INFO(chunker_countsort_laszip.cpp:176): counting 000268.las, first point: 0, num points: 127'107
INFO(chunker_countsort_laszip.cpp:176): counting 000260.las, first point: 0, num points: 127'198
INFO(chunker_countsort_laszip.cpp:176): counting 000257.las, first point: 0, num points: 127'204
INFO(chunker_countsort_laszip.cpp:176): counting 000254.las, first point: 0, num points: 127'198
INFO(chunker_countsort_laszip.cpp:176): counting 000265.las, first point: 0, num points: 127'071
INFO(chunker_countsort_laszip.cpp:176): counting 000273.las, first point: 0, num points: 127'074
INFO(chunker_countsort_laszip.cpp:176): counting 000270.las, first point: 0, num points: 127'062
INFO(chunker_countsort_laszip.cpp:176): counting 000251.las, first point: 0, num points: 127'076
INFO(chunker_countsort_laszip.cpp:176): counting 000276.las, first point: 0, num points: 127'019
INFO(chunker_countsort_laszip.cpp:176): counting 000266.las, first point: 0, num points: 127'136
INFO(chunker_countsort_laszip.cpp:176): counting 000282.las, first point: 0, num points: 126'881
INFO(chunker_countsort_laszip.cpp:176): counting 000279.las, first point: 0, num points: 126'936
INFO(chunker_countsort_laszip.cpp:176): counting 000277.las, first point: 0, num points: 126'998
INFO(chunker_countsort_laszip.cpp:176): counting 000285.las, first point: 0, num points: 126'967
INFO(chunker_countsort_laszip.cpp:176): counting 000274.las, first point: 0, num points: 127'130
INFO(chunker_countsort_laszip.cpp:176): counting 000288.las, first point: 0, num points: 127'161
INFO(chunker_countsort_laszip.cpp:176): counting 000291.las, first point: 0, num points: 127'100
INFO(chunker_countsort_laszip.cpp:176): counting 000271.las, first point: 0, num points: 127'117
INFO(chunker_countsort_laszip.cpp:176): counting 000286.las, first point: 0, num points: 127'095
INFO(chunker_countsort_laszip.cpp:176): counting 000278.las, first point: 0, num points: 127'010
INFO(chunker_countsort_laszip.cpp:176): counting 000275.las, first point: 0, num points: 126'981
INFO(chunker_countsort_laszip.cpp:176): counting 000283.las, first point: 0, num points: 126'879
INFO(chunker_countsort_laszip.cpp:176): counting 000287.las, first point: 0, num points: 127'086
INFO(chunker_countsort_laszip.cpp:176): counting 000269.las, first point: 0, num points: 127'025
INFO(chunker_countsort_laszip.cpp:176): counting 000292.las, first point: 0, num points: 127'199
INFO(chunker_countsort_laszip.cpp:176): counting 000280.las, first point: 0, num points: 126'946
INFO(chunker_countsort_laszip.cpp:176): counting 000297.las, first point: 0, num points: 127'415
INFO(chunker_countsort_laszip.cpp:176): counting 000294.las, first point: 0, num points: 127'327
INFO(chunker_countsort_laszip.cpp:176): counting 000300.las, first point: 0, num points: 127'467
INFO(chunker_countsort_laszip.cpp:176): counting 000289.las, first point: 0, num points: 127'086
INFO(chunker_countsort_laszip.cpp:176): counting 000293.las, first point: 0, num points: 127'249
INFO(chunker_countsort_laszip.cpp:176): counting 000281.las, first point: 0, num points: 126'927
INFO(chunker_countsort_laszip.cpp:176): counting 000301.las, first point: 0, num points: 127'490
INFO(chunker_countsort_laszip.cpp:176): counting 000303.las, first point: 0, num points: 127'447
INFO(chunker_countsort_laszip.cpp:176): counting 000295.las, first point: 0, num points: 127'442
